alpha,RS_cum,RS_cum_lower_ci,RS_cum_upper_ci,source,phase_type,score,RS_phase_0,RS_phase_1,RS_phase_2,RS_phase_3,N_G_0,N_nG_0,N_G_1,N_nG_1,N_G_2,N_nG_2,N_G_3,N_nG_3,N_G_4,N_nG_4,X_G_0,X_nG_0,X_G_1,X_nG_1,X_G_2,X_nG_2,X_G_3,X_nG_3,score_column
4.4173513561268665e-05,0.46568629625145874,,,pigean,ccat,12.5,0.38048337759252415,0.7114841918974506,1.7023286109754112,1.010529779532741,1,7763,0,4421,0,7383,0,1551,0,1519,0,14874,0,10453,0,3070,0,1519,combined
8.834702712253733e-05,0.31044381683435723,,,pigean,ccat,12.4,0.25364438020325614,0.7114841918974506,1.7023286109754112,1.010529779532741,2,7762,0,4421,0,7383,0,1551,0,1519,0,14874,0,10453,0,3070,0,1519,combined
0.00013252054068380598,0.31044381683435723,,,pigean,ccat,11.9,0.25364438020325614,0.7114841918974506,1.7023286109754112,1.010529779532741,2,7762,0,4421,0,7383,0,1551,0,1519,0,14874,0,10453,0,3070,0,1519,combined
0.00017669405424507466,0.23282257712580656,,,pigean,ccat,11.8,0.19022488150862213,0.7114841918974506,1.7023286109754112,1.010529779532741,3,7761,0,4421,0,7383,0,1551,0,1519,0,14874,0,10453,0,3070,0,1519,combined
0.00026504108136761196,0.4190621277911289,0.09915496214775536,2.955897602497737,pigean,ccat,11.7,0.4565502403603725,1.0672566371681416,0.8510828855235304,1.010529779532741,3,7761,0,4421,1,7382,0,1551,0,1519,1,14873,1,10452,0,3070,0,1519,combined
0.0003533881084901493,0.3492030115758932,0.07502576135581826,2.499971310452251,pigean,ccat,11.6,0.3804417252159882,1.0672566371681416,0.8510828855235304,1.010529779532741,4,7760,0,4421,1,7382,0,1551,0,1519,1,14873,1,10452,0,3070,0,1519,combined
0.00048590864917395527,0.3695106727124015,0.23279005875963402,2.238325456852908,pigean,ccat,11.4,0.5435007084023725,1.185874435886396,0.5673343103729034,1.010529779532741,4,7760,0,4421,2,7381,0,1551,0,1519,2,14872,2,10451,0,3070,0,1519,combined
0.0005300821627352239,0.32330755320654303,0.1917568825970269,1.9962031857268698,pigean,ccat,11.3,0.475542107917297,1.185874435886396,0.5673343103729034,1.010529779532741,5,7759,0,4421,2,7381,0,1551,0,1519,2,14872,2,10451,0,3070,0,1519,combined
0.0006184291898577613,0.31682740460044306,0.33191962956848786,1.9868547791743467,pigean,ccat,11.2,0.591799377631338,1.245203578776135,0.42546002279759,1.010529779532741,5,7759,0,4421,3,7380,0,1551,0,1519,3,14871,3,10450,0,3070,0,1519,combined
0.0006626027034190299,0.2851320644026876,0.2864976512575664,1.8185890366511184,pigean,ccat,11.1,0.5325959049188044,1.245203578776135,0.42546002279759,1.010529779532741,6,7758,0,4421,3,7380,0,1551,0,1519,3,14871,3,10450,0,3070,0,1519,combined
0.0007951232441028359,0.2607553373251934,0.5151837307325265,1.8809624444427502,pigean,ccat,11.0,0.6974791799769102,1.304573224226763,0.2835857352222765,1.010529779532741,6,7758,0,4421,5,7378,0,1551,0,1519,5,14869,5,10448,0,3070,0,1519,combined
0.0008392967576641046,0.2607553373251934,0.5151837307325265,1.8809624444427502,pigean,ccat,10.9,0.6974791799769102,1.304573224226763,0.2835857352222765,1.010529779532741,6,7758,0,4421,5,7378,0,1551,0,1519,5,14869,5,10448,0,3070,0,1519,combined
0.0011485113525929853,0.9730334609609925,0.16093846982216561,7.041728913434189,pigean,ccat,10.8,0.7608878426097192,1.156281407035176,0.7293882205105532,1.5162989792558446,7,7757,1,4420,5,7378,0,1551,1,1518,7,14867,6,10447,1,3069,1,1518,combined
0.0012810318932767913,0.9277713526702355,0.14947812993934723,6.603841997569295,pigean,ccat,10.7,0.808461978273299,1.1859634008200515,0.6381536080794917,1.5162989792558446,7,7757,1,4420,6,7377,0,1551,1,1518,8,14866,7,10446,1,3069,1,1518,combined
