alpha,RS_cum,RS_cum_lower_ci,RS_cum_upper_ci,source,phase_type,score,RS_phase_0,RS_phase_1,RS_phase_2,RS_phase_3,N_G_0,N_nG_0,N_G_1,N_nG_1,N_G_2,N_nG_2,N_G_3,N_nG_3,N_G_4,N_nG_4,X_G_0,X_nG_0,X_G_1,X_nG_1,X_G_2,X_nG_2,X_G_3,X_nG_3,score_column
4.4173513561268665e-05,0.46568629625145874,,,pigean,ccat,12.5,0.38048337759252415,0.7114841918974506,1.7023286109754112,1.010529779532741,1,7763,0,4421,0,7383,0,1551,0,1519,0,14874,0,10453,0,3070,0,1519,combined
8.834702712253733e-05,0.31044381683435723,,,pigean,ccat,12.4,0.25364438020325614,0.7114841918974506,1.7023286109754112,1.010529779532741,2,7762,0,4421,0,7383,0,1551,0,1519,0,14874,0,10453,0,3070,0,1519,combined
0.00013252054068380598,2.3588811406983288,1.0024530562158676,24.64398301919518,pigean,ccat,11.9,0.570713013076949,1.0672566371681416,2.5540804691317804,1.5162989792558446,2,7762,0,4421,0,7383,0,1551,1,1518,1,14873,1,10452,1,3069,1,1518,combined
0.00017669405424507466,1.887021545138953,0.6822843664430633,20.36543435441682,pigean,ccat,11.8,0.4565502403603725,1.0672566371681416,2.5540804691317804,1.5162989792558446,3,7761,0,4421,0,7383,0,1551,1,1518,1,14873,1,10452,1,3069,1,1518,combined
0.00026504108136761196,1.941294434794364,0.5162620003963343,17.22386192048768,pigean,ccat,11.7,0.6341121757158066,1.185874435886396,1.7025574197752076,1.5162989792558446,3,7761,0,4421,1,7382,0,1551,1,1518,2,14872,2,10451,1,3069,1,1518,combined
0.0003533881084901493,1.4558421726694146,0.3467304357081983,13.082052894215188,pigean,ccat,11.6,0.475542107917297,1.185874435886396,1.7025574197752076,1.5162989792558446,5,7759,0,4421,1,7382,0,1551,1,1518,2,14872,2,10451,1,3069,1,1518,combined
0.00048590864917395527,1.2839393327521038,0.26082738676499184,10.518382810981848,pigean,ccat,11.4,0.5325959049188044,1.245203578776135,1.2767958950969212,1.5162989792558446,6,7758,0,4421,2,7381,0,1551,1,1518,3,14871,3,10450,1,3069,1,1518,combined
0.0005300821627352239,1.1671659969006294,0.23204811716996135,9.575704776442953,pigean,ccat,11.3,0.484156699972186,1.245203578776135,1.2767958950969212,1.5162989792558446,7,7757,0,4421,2,7381,0,1551,1,1518,3,14871,3,10450,1,3069,1,1518,combined
0.0006184291898577613,1.0447502646343112,0.19007201976171356,8.116921403247689,pigean,ccat,11.2,0.5267087910240461,1.2808172639839226,1.0213389802899495,1.5162989792558446,8,7756,0,4421,3,7380,0,1551,1,1518,4,14870,4,10449,1,3069,1,1518,combined
0.0006626027034190299,0.970082371057987,0.1742983520511677,7.541429006507343,pigean,ccat,11.1,0.48906511933982433,1.2808172639839226,1.0213389802899495,1.5162989792558446,9,7755,0,4421,3,7380,0,1551,1,1518,4,14870,4,10449,1,3069,1,1518,combined
0.0007951232441028359,0.8667376900291723,0.13953938485344586,6.217011684080172,pigean,ccat,11.0,0.6713122780640758,1.3342985688986742,0.6381536080794917,1.5162989792558446,9,7755,0,4421,6,7377,0,1551,1,1518,7,14867,7,10446,1,3069,1,1518,combined
0.0008392967576641046,0.8185494123612618,0.13083825787430559,5.872830422417185,pigean,ccat,10.9,0.6339891261700578,1.3342985688986742,0.6381536080794917,1.5162989792558446,10,7754,0,4421,6,7377,0,1551,1,1518,7,14867,7,10446,1,3069,1,1518,combined
0.0011485113525929853,3.345657544363577,1.8654851524710587,7.484540455037383,pigean,ccat,10.8,0.8217272819029036,1.270855993596979,1.7037037037037035,1.8804568408136297,11,7753,1,4420,6,7377,0,1551,6,1513,13,14861,12,10441,6,3064,6,1513,combined
0.0012810318932767913,3.2339926399425507,1.7825800906991969,7.217917954924956,pigean,ccat,10.7,0.8486695498909086,1.281059336238686,1.5818590774537913,1.8804568408136297,11,7753,1,4420,7,7376,0,1551,6,1513,14,14860,13,10440,6,3064,6,1513,combined
