alpha,RS_cum,RS_cum_lower_ci,RS_cum_upper_ci,source,phase_type,score,RS_phase_0,RS_phase_1,RS_phase_2,RS_phase_3,N_G_0,N_nG_0,N_G_1,N_nG_1,N_G_2,N_nG_2,N_G_3,N_nG_3,N_G_4,N_nG_4,X_G_0,X_nG_0,X_G_1,X_nG_1,X_G_2,X_nG_2,X_G_3,X_nG_3,score_column
4.4173513561268665e-05,0.46568629625145874,,,pigean,ccat,12.5,0.38048337759252415,0.7114841918974506,1.7023286109754112,1.010529779532741,1,7763,0,4421,0,7383,0,1551,0,1519,0,14874,0,10453,0,3070,0,1519,combined
8.834702712253733e-05,0.31044381683435723,,,pigean,ccat,12.4,0.25364438020325614,0.7114841918974506,1.7023286109754112,1.010529779532741,2,7762,0,4421,0,7383,0,1551,0,1519,0,14874,0,10453,0,3070,0,1519,combined
0.00013252054068380598,2.3588811406983288,1.0024530562158676,24.64398301919518,pigean,ccat,11.9,0.570713013076949,1.0672566371681416,2.5540804691317804,1.5162989792558446,2,7762,0,4421,0,7383,0,1551,1,1518,1,14873,1,10452,1,3069,1,1518,combined
0.00017669405424507466,1.887021545138953,0.6822843664430633,20.36543435441682,pigean,ccat,11.8,0.4565502403603725,1.0672566371681416,2.5540804691317804,1.5162989792558446,3,7761,0,4421,0,7383,0,1551,1,1518,1,14873,1,10452,1,3069,1,1518,combined
0.00026504108136761196,1.663893142151536,0.41493139149514907,14.880705868999057,pigean,ccat,11.7,0.5435007084023725,1.185874435886396,1.7025574197752076,1.5162989792558446,4,7760,0,4421,1,7382,0,1551,1,1518,2,14872,2,10451,1,3069,1,1518,combined
0.0003533881084901493,1.2940247519610986,0.297726222344179,11.663489529675303,pigean,ccat,11.6,0.4226854186511272,1.185874435886396,1.7025574197752076,1.5162989792558446,6,7758,0,4421,1,7382,0,1551,1,1518,2,14872,2,10451,1,3069,1,1518,combined
0.00048590864917395527,1.0698548836910668,0.20897744383551978,8.786696537009178,pigean,ccat,11.4,0.4437906958500039,1.245203578776135,1.2767958950969212,1.5162989792558446,8,7756,0,4421,2,7381,0,1551,1,1518,3,14871,3,10450,1,3069,1,1518,combined
0.0005300821627352239,0.9875147109752834,0.19007201976171353,8.116921403247693,pigean,ccat,11.3,0.4096348462081576,1.245203578776135,1.2767958950969212,1.5162989792558446,9,7755,0,4421,2,7381,0,1551,1,1518,3,14871,3,10450,1,3069,1,1518,combined
0.0006184291898577613,0.9053701966251726,0.16093846982216556,7.041728913434187,pigean,ccat,11.2,0.4564406038801654,1.2808172639839226,1.0213389802899495,1.5162989792558446,10,7754,0,4421,3,7380,0,1551,1,1518,4,14870,4,10449,1,3069,1,1518,combined
0.0006626027034190299,0.8487470439964604,0.14947812993934725,6.603841997569293,pigean,ccat,11.1,0.42789415285296395,1.2808172639839226,1.0213389802899495,1.5162989792558446,11,7753,0,4421,3,7380,0,1551,1,1518,4,14870,4,10449,1,3069,1,1518,combined
0.0007951232441028359,0.7754335849741844,0.12315726112176806,5.564634266067262,pigean,ccat,11.0,0.600594727106989,1.3342985688986742,0.6381536080794917,1.5162989792558446,11,7753,0,4421,6,7377,0,1551,1,1518,7,14867,7,10446,1,3069,1,1518,combined
0.0008392967576641046,0.7366293403258142,0.11632702116433898,5.2870747312731625,pigean,ccat,10.9,0.570539767950227,1.3342985688986742,0.6381536080794917,1.5162989792558446,12,7752,0,4421,6,7377,0,1551,1,1518,7,14867,7,10446,1,3069,1,1518,combined
0.0011485113525929853,3.0975570970878703,1.7067375265026026,6.96930008472848,pigean,ccat,10.8,0.7607913063957205,1.270855993596979,1.7037037037037035,1.8804568408136297,13,7751,1,4420,6,7377,0,1551,6,1513,13,14861,12,10441,6,3064,6,1513,combined
0.0012810318932767913,3.295106796130518,1.8897966487856364,6.893569129287917,pigean,ccat,10.7,0.8369283575058049,1.2978791746616738,1.5972845601436265,1.8991735537190082,13,7751,1,4420,8,7375,0,1551,7,1512,16,14858,15,10438,7,3063,7,1512,combined
