mesh_id,trait_portal,similarity,source,subsource,n_rows
"['D000419', 'D003922']",MacrovControladjHbA1cBMI_T1D,0.705,pigean,portal,59
"['D003922', 'D007676', 'D051436']",CKDextremesadjHbA1cBMI_T1D,0.705,pigean,portal,74
"['D003922', 'D003928', 'D007676', 'D051436']",CKDpDKDadjHbA1cBMI_T1D,0.705,pigean,portal,70
['D003922'],ESRDvControl_T1D,0.705,pigean,portal,49
"['D000690', 'D002607', 'D002973', 'D003922', 'D005902', 'D006849', 'D007040', 'D009134', 'D009207', 'D010001', 'D015419', 'D019150', 'D020914', 'D049310', 'D057180']",Amyotrophic_lateral_sclerosis_Orphanet_803,0.705,pigean,orphanet,32
['D003922'],gcat_trait_type_1_diabetes_mellitus,0.705,pigean,gcat,30
['D003922'],T1D,0.705,pigean,portal,42
['D003922'],ESRDvNonESRDadjHbA1cBMI_T1D,0.705,pigean,portal,77
['D003922'],ESRDvNonESRD_T1D,0.705,pigean,portal,60
"['D003922', 'D003928', 'D007676', 'D051436']",CKDpDKD_T1D,0.705,pigean,portal,70
"['D000419', 'D003922']",MA_T1D,0.705,pigean,portal,70
['D003922'],ESRDvMacroadjHbA1cBMI_T1D,0.705,pigean,portal,62
"['D003324', 'D003327', 'D003922', 'D017202']",CADinT1D,0.705,pigean,portal,67
"['D003922', 'D003928']",allDKDadjHbA1cBMI_T1D,0.705,pigean,portal,64
"['D003922', 'D003928']",lateDKD_T1D,0.705,pigean,portal,62
"['D003922', 'D003928']",lateDKDadjHbA1cBMI_T1D,0.705,pigean,portal,68
"['D003922', 'D003928']",allDKD_T1D,0.705,pigean,portal,65
"['D003922', 'D005919']",eGFRcrea_T1D,0.705,pigean,portal,61
"['D003922', 'D007676', 'D051436']",CKD_T1D,0.705,pigean,portal,76
['D003930'],PDRvNoDR,0.666,pigean,portal,80
['D003930'],gcat_trait_diabetic_retinopathy,0.666,pigean,gcat,31
['D003930'],PDRvNoPDRwDoD,0.666,pigean,portal,79
['D003930'],PDRvNoDRwDoD,0.666,pigean,portal,65
['D003930'],PDRvNoPDR,0.666,pigean,portal,60
['D003930'],NPDRvNoDRwDoD,0.666,pigean,portal,66
['D003930'],NPDRvNoDR,0.666,pigean,portal,76
['D003930'],DiabeticRetino,0.666,pigean,portal,62
['D003930'],DRvNoDRwDoD,0.666,pigean,portal,71
['D003930'],DRvNoDR,0.666,pigean,portal,72
['D004700'],gcat_trait_testosterone_measurement,0.663,pigean,gcat,107
['D004700'],gcat_trait_sex_hormonebinding_globulin_measurement,0.663,pigean,gcat,112
['D006946'],gcat_trait_fasting_blood_insulin_measurement,0.64,pigean,gcat,33
['D006946'],gcat_trait_BMIadjusted_fasting_blood_insulin_measurement,0.64,pigean,gcat,10
"['D040641', 'D007328', 'D007333']",gcat_trait_insulin_measurement,0.637,pigean,gcat,61
['D007333'],ISIadjAgeSexBMI,0.637,pigean,portal,80
['D007333'],ISIadjBMIinterGenoBMI,0.637,pigean,portal,65
['D007333'],gcat_trait_HOMAIR,0.637,pigean,gcat,11
['D007333'],ISen,0.637,pigean,portal,78
['D007333'],ISenBMI,0.637,pigean,portal,75
['D007333'],gcat_trait_insulin_sensitivity_measurement,0.637,pigean,gcat,18
['D007333'],gcat_trait_insulin_resistance,0.637,pigean,gcat,24
['D007333'],ISI,0.637,pigean,portal,68
['D007333'],ISIadjAgeSex,0.637,pigean,portal,77
['D007333'],AIRadjSI,0.637,pigean,portal,56
['D007333'],HOMAIR,0.637,pigean,portal,76
['D007333'],DIadjBMI,0.637,pigean,portal,61
['D007333'],DI,0.637,pigean,portal,70
['D007333'],CIRadjISI,0.637,pigean,portal,68
['D007333'],CIR,0.637,pigean,portal,67
['D007333'],AIRadjBMInSI,0.637,pigean,portal,54
['D007333'],AIR,0.637,pigean,portal,59
['D003928'],gcat_trait_diabetic_nephropathy,0.623,pigean,gcat,28
"['D003928', 'D007676', 'D051436']",CKDpDKD,0.623,pigean,portal,52
['D003928'],DiabeticNephro,0.623,pigean,portal,59
['D003928'],SevereDKD,0.623,pigean,portal,63
['D003928'],allDKD,0.623,pigean,portal,68
['D003928'],lateDKD,0.623,pigean,portal,65
['D003929'],NeuropathyinT2D,0.619,pigean,portal,66
['D004701'],Tumor_of_endocrine_glands_Orphanet_182130,0.611,pigean,orphanet,55
"['D013959', 'D013972']",gcat_trait_thyroid_stimulating_hormone_measurement,0.61,pigean,gcat,71
['D013959'],gcat_trait_thyroid_volume,0.61,pigean,gcat,16
['D013959'],gcat_trait_thyroid_peroxidase_antibody_measurement,0.61,pigean,gcat,22
['D016640'],GDM_abnormal_gluc,0.605,pigean,portal,73
['D016640'],GDM,0.605,pigean,portal,69
['D009377'],Multiple_endocrine_neoplasia_Orphanet_276161,0.603,pigean,orphanet,38
['D000307'],gcat_trait_hormone_measurement,0.601,pigean,gcat,27
['D000307'],gcat_trait_dehydroepiandrosterone_sulphate_measurement,0.601,pigean,gcat,34
['D000307'],gcat_trait_cortisol_measurement,0.601,pigean,gcat,21
['D006029'],gcat_trait_Glycosuria,0.592,pigean,gcat,11
['D050031'],gcat_trait_Hashimotos_thyroiditis,0.582,pigean,gcat,14
['D013967'],gcat_trait_autoimmune_thyroid_disease,0.582,pigean,gcat,39
"['D008661', 'D010049', 'D056784']",Ovarioleukodystrophy_Orphanet_99853,0.582,pigean,orphanet,4
['D010279'],gcat_trait_parathyroid_hormone_measurement,0.576,pigean,gcat,29
"['D042643', 'D054369', 'D018826', 'D042683', 'D001142', 'D003546', 'D015415', 'D055418', 'D002918', 'D007791', 'D051547', 'D064094', 'D007249', 'D008071', 'D019056', 'D012694', 'D013926', 'D018180', 'D053220', 'D015703', 'D015820', 'D000071451', 'D002402', 'D004815', 'D000071858', 'D037502', 'D037541', 'D000077155', 'D053722', 'D020780', 'D000071656', 'D053495', 'D018384', 'D053146', 'D037663', 'D008659', 'D019040', 'D019007', 'D008074', 'D047889', 'D053264', 'D000071681', 'D014568', 'D014842', 'D003598', 'D048868', 'D062727', 'D002394', 'D000075983', 'D011956', 'D004093', 'D047150', 'D000070816', 'D053671', 'D008666', 'D013939', 'D006128']",gcat_trait_blood_protein_measurement,0.574,pigean,gcat,90
"['C024058', 'D005977', 'C035661', 'C052203', 'D002210', 'D045782', 'D007651', 'D008762', 'D002723', 'C042836', 'C010922', 'C054188', 'D010875', 'D000108', 'D011760', 'D000225', 'D024502', 'D015091', 'D001622', 'D002087', 'D010767', 'D008293', 'D004151', 'D002331', 'D013450', 'C007558', 'D004880', 'D004896', 'D008314', 'D005942', 'D018698', 'D005973', 'C053168', 'D006151', 'D013400', 'D006626', 'D007210', 'C020381', 'D007736', 'D008298', 'D008659', 'D015415', 'C018332', 'C013111', 'D005971', 'C032007', 'C023495', 'C088117', 'C044228', 'D062367', 'C008698', 'D010070', 'C003089', 'D010649', 'D011730', 'D019289', 'D011801', 'D012255', 'D012459', 'C003342', 'D013805', 'D013806']",gcat_trait_metabolite_measurement,0.574,pigean,gcat,98
['D008659'],gcat_trait_BMIadjusted_adiponectin_measurement,0.574,pigean,gcat,13
['D008659'],gcat_trait_BMIadjusted_leptin_measurement,0.574,pigean,gcat,13
['D008659'],gcat_trait_adiponectin_measurement,0.574,pigean,gcat,39
['D008659'],gcat_trait_delta6_desaturase_measurement,0.574,pigean,gcat,5
['D008659'],gcat_trait_lactate_measurement,0.574,pigean,gcat,20
['D008659'],gcat_trait_leptin_measurement,0.574,pigean,gcat,34
['D008659'],gcat_trait_resistin_measurement,0.574,pigean,gcat,30
"['D002386', 'D003638', 'D009135', 'D014929', 'D015785']",Earlyonset_zonular_cataract_Orphanet_98995,0.571,pigean,orphanet,8
"['D000015', 'D000073376', 'D001168', 'D002658', 'D003638', 'D004392', 'D004421', 'D004476', 'D004831', 'D005350', 'D006228', 'D006313', 'D006319', 'D007634', 'D008607', 'D013036', 'D014564', 'D014849', 'D014929', 'D017495', 'D019280', 'D052245', 'D056266']",Rare_autosomal_dominant_nonsyndromic_sensorineural_deafness_type_DFNA_Orphanet_90635,0.571,pigean,orphanet,27
"['D002386', 'D003638', 'D007039', 'D009135', 'D014929', 'D020914', 'D040181']",Earlyonset_nonsyndromic_cataract_Orphanet_91492,0.571,pigean,orphanet,9
"['D002386', 'D003638', 'D009135', 'D014929']",Earlyonset_partial_cataract_Orphanet_98992,0.571,pigean,orphanet,9
"['D002386', 'D003638', 'D014929', 'D015785']",Earlyonset_nuclear_cataract_Orphanet_98991,0.571,pigean,orphanet,8
['D006980'],gcat_trait_hyperthyroidism,0.565,pigean,gcat,20
"['D004392', 'D008607', 'D008831', 'D010024']",Autosomal_recessive_primary_microcephaly_Orphanet_2512,0.564,pigean,orphanet,30
"['D004392', 'D008831', 'D009886', 'D019066']",Seckel_syndrome_Orphanet_808,0.564,pigean,orphanet,15
"['D004392', 'D009216', 'D009755', 'D010009', 'D012164', 'D012174', 'D015785', 'D040181']",Congenital_stationary_night_blindness_Orphanet_215,0.564,pigean,orphanet,35
"['D004392', 'D010022']",Osteopetrosis_and_related_disorders_Orphanet_2781,0.564,pigean,orphanet,34
"['D004392', 'D014564', 'D017880', 'D019465', 'D059327']",Robinow_syndrome_Orphanet_97360,0.564,pigean,orphanet,25
"['D000015', 'D000130', 'D000168', 'D003394', 'D003398', 'D004392', 'D007766', 'D013796']",Familial_primary_hyperparathyroidism_Orphanet_2207,0.564,pigean,orphanet,32
"['D000015', 'D003638', 'D004392', 'D004421', 'D004476', 'D004831', 'D006044', 'D006228', 'D006319', 'D007634', 'D008661', 'D012640', 'D013036', 'D015209', 'D020754', 'D052177', 'D052245', 'D056266', 'D056784', 'D065886']",Rare_autosomal_recessive_nonsyndromic_sensorineural_deafness_type_DFNB_Orphanet_90636,0.564,pigean,orphanet,30
"['D000544', 'D000941', 'D002311', 'D004392', 'D004393', 'D008661', 'D010900', 'D020774', 'D028243', 'D040181', 'D057180']",Nonacquired_isolated_growth_hormone_deficiency_Orphanet_631,0.564,pigean,orphanet,11
"['D000130', 'D003398', 'D004392', 'D008228', 'D013796', 'D051359', 'D056735']",NonHodgkin_lymphoma_Orphanet_547,0.564,pigean,orphanet,33
"['D000130', 'D003483', 'D004392']",Cutis_laxa_Orphanet_209,0.564,pigean,orphanet,27
['D006042'],gcat_trait_goiter,0.563,pigean,gcat,23
['D044903'],Congenital_isolated_hyperinsulinism_Orphanet_657,0.563,pigean,orphanet,62
"['D001165', 'D002607', 'D004310', 'D006061', 'D006330', 'D006344', 'D006345', 'D006548', 'D007037', 'D010179', 'D013771', 'D016738', 'D018636']",Tetralogy_of_Fallot_Orphanet_3303,0.557,pigean,orphanet,26
"['D004310', 'D006344', 'D006345', 'D007037', 'D013771', 'D018636', 'D050033']",Athyreosis_Orphanet_95713,0.557,pigean,orphanet,28
['D007037'],gcat_trait_hypothyroidism,0.557,pigean,gcat,45
['D007037'],Central_congenital_hypothyroidism_Orphanet_226298,0.557,pigean,orphanet,19
['D007037'],Thyroid,0.557,pigean,portal,52
