mesh_id,trait_portal,similarity,source,subsource,n_rows
"['D003922', 'D007676', 'D051436']",CKDextremesadjHbA1cBMI_T1D,0.4623260796070099,pigean,portal,74
['D003922'],ESRDvNonESRD_T1D,0.461966335773468,pigean,portal,60
"['D003924', 'D007676', 'D051436']",CKD_EXT_vGFRinT2D,0.457715094089508,pigean,portal,49
['D007839'],gcat_trait_Drugs_used_in_diabetes_use_measurement,0.4558458924293518,pigean,gcat,90
['none'],Glucose_30_min_OGTT_metformin_adjusted_baseline_glucose,0.4527215659618377,pigean,portal,76
"['D003922', 'D007676', 'D051436']",CKDadjHbA1cBMI_T1D,0.4524790048599243,pigean,portal,70
['D003922'],ESRDvMacroadjHbA1cBMI_T1D,0.4501422643661499,pigean,portal,62
"['D003922', 'D003928']",lateDKDadjHbA1cBMI_T1D,0.4476553797721863,pigean,portal,68
['D003930'],DRvNoDRwDoD,0.4458017349243164,pigean,portal,71
['none'],Glucose_120_min_OGTT_metformin_adjusted_baseline_glucose,0.4454634189605713,pigean,portal,76
['D058729'],PADnonT2D,0.4453673958778381,pigean,portal,67
['none'],Insulin_60_min_OGTT_metformin,0.4439876675605774,pigean,portal,76
['D003920'],eGFRcrea_perc_DeclineInDM,0.4431199431419372,pigean,portal,75
['none'],Fasting_glucose_metformin_adjusted_baseline_glucose,0.4429697394371032,pigean,portal,65
['D003920'],eGFRcrea_med_DeclineInDM,0.4422664046287536,pigean,portal,66
['none'],Fasting_insulin_metformin,0.4420454800128937,pigean,portal,75
['D003928'],lateDKD,0.4419353008270263,pigean,portal,65
['D003920'],ESRDvMacro_DM,0.4418265223503113,pigean,portal,65
['D008269'],DME,0.4417359828948974,pigean,portal,58
"['D003922', 'D003928', 'D007676', 'D051436']",CKDpDKDadjHbA1cBMI_T1D,0.4383915066719055,pigean,portal,70
['none'],Change_in_fasting_insulin_after_metformin_adjusted_baseline_insulin,0.4374751448631286,pigean,portal,73
['D003930'],NPDRvNoDRwDoD,0.4370734691619873,pigean,portal,66
['D007333'],AIR,0.4367726445198059,pigean,portal,59
['D001786'],2hrG,0.4364902973175049,pigean,portal,62
['D003920'],ESRD_DM,0.4358973503112793,pigean,portal,62
"['D003324', 'D003327', 'D017202']",CADinNonT2D,0.4357002377510071,pigean,portal,82
['D001786'],BS,0.4354019165039062,pigean,portal,123
"['D003922', 'D003928']",allDKDadjHbA1cBMI_T1D,0.4353642165660858,pigean,portal,64
['D003930'],PDRvNoDRwDoD,0.4346181452274322,pigean,portal,65
['D003922'],ESRDvNonESRDadjHbA1cBMI_T1D,0.4328960180282593,pigean,portal,77
['D001786'],2hrGadjBMI,0.4319144189357757,pigean,portal,124
['none'],Time_to_peak_insulin_glipizide,0.4291306734085083,pigean,portal,67
['none'],eGFRcrea_perc_DeclineNoDM,0.4289539158344269,pigean,portal,70
"['D003922', 'D005919']",eGFRcrea_T1D,0.4285721480846405,pigean,portal,61
"['D003920', 'D003928', 'D007676', 'D051436']",CKDpDKD_DM,0.427200049161911,pigean,portal,56
['D003922'],ESRDvControladjHbA1cBMI_T1D,0.4258649349212646,pigean,portal,67
"['D003920', 'D003928']",AllDKDvControl_DM,0.4240437150001526,pigean,portal,69
['none'],Glucose_60_min_OGTT_metformin_adjusted_baseline_glucose,0.4238990545272827,pigean,portal,65
['none'],PEAK,0.4222389161586761,pigean,portal,64
"['D040641', 'D007328', 'D007333']",gcat_trait_insulin_measurement,0.4217472076416015,pigean,gcat,61
['D003928'],allDKD,0.4212885499000549,pigean,portal,68
['D007333'],gcat_trait_insulin_sensitivity_measurement,0.4211212992668152,pigean,gcat,18
"['D000078790', 'D007328']",FI,0.4194922149181366,pigean,portal,105
['D003920'],UACR_DM,0.4177758395671844,pigean,portal,62
['D001786'],FG_plus_diab,0.4158477783203125,pigean,portal,69
['none'],Insulin_240_min_glipizide,0.4147946834564209,pigean,portal,64
"['D003928', 'D007676', 'D051436']",CKDpDKD,0.4142869114875793,pigean,portal,52
"['D044882', 'D005951']",gcat_trait_glucose_tolerance_test,0.4140748679637909,pigean,gcat,40
"['D003638', 'D014849', 'D017495', 'D017496']",Waardenburg_syndrome_type_2_Orphanet_895,0.4099112153053283,pigean,orphanet,13
['none'],Glucose_240_min_glipizide_adjusted_baseline_glucose,0.4081843495368957,pigean,portal,65
['D003930'],DRvNoDR,0.4074644148349762,pigean,portal,72
['D000078790'],Ins30,0.4070586562156677,pigean,portal,61
['D006029'],gcat_trait_Glycosuria,0.4058302044868469,pigean,gcat,11
['D003920'],ESRDvNonESRD_DM,0.4054850041866302,pigean,portal,61
"['D003920', 'D005919']",eGFRcrea_DM,0.4029021859169006,pigean,portal,76
['none'],Glucose_trough_glipizide_adjusted_baseline_glucose,0.4027478396892547,pigean,portal,75
['D003920'],ESRDvControl_DM,0.4014463424682617,pigean,portal,64
['none'],UACR_nonDM,0.399003803730011,pigean,portal,61
