mesh_id,indication_mesh_id,indication_mesh_term,sim_ontology,sim_semantic,sim_gap,bucket,sample_genes_ontology_side,sample_genes_semantic_side
['D028361'],D028361,Mitochondrial Diseases,1.0,0.0521481074392795,0.9478518925607204,ontology_only,"ALOX15,EPOR,MT-ND1,MTOR,NFE2L2","ALOX15,EPOR,MT-ND1,MTOR,NFE2L2"
"['D000015', 'D001014', 'D002493', 'D004374', 'D006330', 'D007418', 'D008382', 'D009072', 'D017545', 'D055947']",D046589,CADASIL,0.937,-0.0081367455422878,0.9451367455422879,ontology_only,NOTCH3,NOTCH3
"['D008107', 'D007014']",D008107,Liver Diseases,1.0,0.0562750995159149,0.9437249004840851,ontology_only,"ADIPOQ,APOC3,AVPR1A,C3,CCR2","ADIPOQ,APOC3,AVPR1A,C3,CCR2"
"['D002311', 'D002312', 'D002971', 'D006344', 'D006345', 'D010179']",D002311,"Cardiomyopathy, Dilated",1.0,0.0593782551586627,0.9406217448413373,ontology_only,"BAG3,DMD,LMNA,MAPK14","BAG3,DMD,LMNA,MAPK14"
"['D019698', 'D020127', 'D064420']",D064420,Drug-Related Side Effects and Adverse Reactions,1.0,0.0636684745550155,0.9363315254449845,ontology_only,"FCGRT,RYR1","FCGRT,RYR1"
"['D000073376', 'D004421', 'D006429', 'D008881', 'D009165']",D000073376,Epileptic Syndromes,1.0,0.0648439079523086,0.9351560920476913,ontology_only,STXBP1,STXBP1
"['D002386', 'D003638', 'D014929', 'D015785']",D052245,Usher Syndromes,0.974,0.039069227874279,0.934930772125721,ontology_only,"CLRN1,MYO7A,USH2A","CLRN1,MYO7A,USH2A"
"['D001260', 'D001943', 'D002971', 'D004476', 'D005199', 'D006223', 'D009634', 'D013274', 'D016864', 'D020820', 'D050719', 'D056735']",D020820,Dyskinesias,1.0,0.0666359066963195,0.9333640933036805,ontology_only,PPARD,PPARD
"['D000080344', 'D003103', 'D003318', 'D007634', 'D015783']",D015783,Aniridia,1.0,0.0673578083515167,0.9326421916484833,ontology_only,PAX6,PAX6
"['D001254', 'D005199', 'D005910', 'D006223', 'D016864', 'D058627']",D005199,Fanconi Anemia,1.0,0.0689918845891952,0.9310081154108047,ontology_only,"ALDH2,FANCC,KIT","ALDH2,FANCC,KIT"
"['D001281', 'D001321', 'D002037', 'D002311', 'D008133', 'D012804', 'D013576', 'D014693', 'D053840', 'D065886']",D001281,Atrial Fibrillation,1.0,0.0705124586820602,0.9294875413179398,ontology_only,"ADORA1,ADRB1,ADRB2,CACNA1C,CACNA1D","ADORA1,ADRB1,ADRB2,CACNA1C,CACNA1D"
"['D000015', 'D003638', 'D004392', 'D004421', 'D004476', 'D004831', 'D006044', 'D006228', 'D006319', 'D007634', 'D008661', 'D012640', 'D013036', 'D015209', 'D020754', 'D052177', 'D052245', 'D056266', 'D056784', 'D065886']",D007634,Keratitis,1.0,0.0731794983148574,0.9268205016851426,ontology_only,"CHRNA7,HGF,NGFR","CHRNA7,HGF,NGFR"
"['D000015', 'D000168', 'D002925', 'D003394', 'D003398', 'D007248', 'D007619', 'D053627']",D007248,"Infertility, Male",1.0,0.0735920146107673,0.9264079853892327,ontology_only,OXTR,OXTR
"['D004392', 'D008607', 'D008831', 'D010024']",D010024,Osteoporosis,1.0,0.0736373141407966,0.9263626858592033,ontology_only,"BMP7,CDH11,CTSV,FGF8,FGFR1","BMP7,CDH11,CTSV,FGF8,FGFR1"
"['D000015', 'D000073376', 'D001168', 'D002658', 'D003638', 'D004392', 'D004421', 'D004476', 'D004831', 'D005350', 'D006228', 'D006313', 'D006319', 'D007634', 'D008607', 'D013036', 'D014564', 'D014849', 'D014929', 'D017495', 'D019280', 'D052245', 'D056266']",D007634,Keratitis,1.0,0.0770459920167923,0.9229540079832077,ontology_only,"CHRNA7,NGFR","CHRNA7,NGFR"
"['D000080345', 'D004827', 'D007690', 'D008607', 'D010013', 'D010022', 'D010024', 'D012174', 'D012178', 'D015576', 'D018630', 'D040181', 'D065768', 'D065886']",D010013,Osteogenesis Imperfecta,1.0,0.0778972506523132,0.9221027493476868,ontology_only,SOST,SOST
"['D006932', 'D001663']",D007647,Kernicterus,0.87,-0.048536904156208,0.918536904156208,ontology_only,HMOX1,HMOX1
"['D042643', 'D008232', 'D007970']",D008232,Lymphoproliferative Disorders,1.0,0.0816193222999572,0.9183806777000428,ontology_only,"HBB,IL6,MS4A1","HBB,IL6,MS4A1"
"['D000015', 'D000073376', 'D001168', 'D002658', 'D003638', 'D004392', 'D004421', 'D004476', 'D004831', 'D005350', 'D006228', 'D006313', 'D006319', 'D007634', 'D008607', 'D013036', 'D014564', 'D014849', 'D014929', 'D017495', 'D019280', 'D052245', 'D056266']",D004831,"Epilepsies, Myoclonic",1.0,0.0820309743285179,0.9179690256714821,ontology_only,"FGFR3,GABRA1,GABRA5,GRM7,SCN1A","FGFR3,GABRA1,GABRA5,GRM7,SCN1A"
"['D003638', 'D014849', 'D017495', 'D017496']",D014820,Vitiligo,0.925,0.0116961486637592,0.9133038513362408,ontology_only,"JAK3,MC1R","JAK3,MC1R"
"['D001145', 'D001281', 'D002037', 'D002311', 'D003402', 'D006929', 'D008133', 'D009135', 'D012804', 'D014693', 'D029593', 'D029597', 'D053840']",D001281,Atrial Fibrillation,1.0,0.0887344479560852,0.9112655520439148,ontology_only,"ADORA1,ADRB1,ADRB2,CACNA1C,CACNA1D","ADORA1,ADRB1,ADRB2,CACNA1C,CACNA1D"
"['D000015', 'D003638', 'D004392', 'D004421', 'D004476', 'D004831', 'D006044', 'D006228', 'D006319', 'D007634', 'D008661', 'D012640', 'D013036', 'D015209', 'D020754', 'D052177', 'D052245', 'D056266', 'D056784', 'D065886']",D004831,"Epilepsies, Myoclonic",1.0,0.0897299572825431,0.9102700427174569,ontology_only,"ACHE,FGFR3,GABRA1,GABRA5,GRM7","ACHE,FGFR3,GABRA1,GABRA5,GRM7"
['D007153'],D007153,Immunologic Deficiency Syndromes,1.0,0.0905637815594673,0.9094362184405327,ontology_only,TNF,TNF
"['D000015', 'D000072661', 'D001259', 'D001478', 'D002526', 'D006849', 'D007248', 'D008607', 'D009958', 'D012162', 'D012174', 'D015835', 'D020788', 'D040181', 'D052177', 'D057130']",D000072661,Ciliopathies,1.0,0.0915499925613403,0.9084500074386597,ontology_only,CCDC40,CCDC40
"['D008171', 'D001249']",D065631,"Rhinitis, Allergic",0.81,-0.0972798094153404,0.9072798094153405,ontology_only,"ADAMTS4,ALOX5,CCL11,CHRM3,CTSS","ADAMTS4,ALOX5,CCL11,CHRM3,CTSS"
"['D002607', 'D005923', 'D006551', 'D006849', 'D009396', 'D009404', 'D014718', 'D020371', 'D030321', 'D040181', 'D052159']",D002607,Charcot-Marie-Tooth Disease,1.0,0.0930143892765045,0.9069856107234955,ontology_only,"P2RX7,TRPV1","P2RX7,TRPV1"
['D006970'],D002385,Cataplexy,0.97,0.0631178840994834,0.9068821159005166,ontology_only,HCRTR2,HCRTR2
"['D014807', 'D014808']",D012279,Rickets,0.983,0.0775694325566291,0.9054305674433709,ontology_only,"CYP24A1,ENPP1","CYP24A1,ENPP1"
"['D002292', 'D003922', 'D003924', 'D006623', 'D010673', 'D011030', 'D011086', 'D058249']",D003924,"Diabetes Mellitus, Type 2",1.0,0.0965780988335609,0.9034219011664391,ontology_only,"PARP1,PPARA,PTEN,PTGS2,SIRT1","PARP1,PPARA,PTEN,PTGS2,SIRT1"
"['D000081207', 'D000745', 'D000755', 'D002647', 'D008708', 'D009421', 'D010024', 'D010859', 'D011086', 'D013789', 'D014652', 'D017086', 'D020274']",D010024,Osteoporosis,1.0,0.09851635992527,0.90148364007473,ontology_only,"NFKB1,TRAF6,TYK2","NFKB1,TRAF6,TYK2"
"['D010022', 'D017496', 'D020821']",D000417,Albinism,0.952,0.0510580241680145,0.9009419758319854,ontology_only,MC1R,MC1R
"['D000080345', 'D004827', 'D007690', 'D008607', 'D010013', 'D010022', 'D010024', 'D012174', 'D012178', 'D015576', 'D018630', 'D040181', 'D065768', 'D065886']",D010024,Osteoporosis,1.0,0.0992971807718277,0.9007028192281723,ontology_only,"ACVR2A,AR,BMP2,BMP7,CTSK","ACVR2A,AR,BMP2,BMP7,CTSK"
"['D021081', 'D012893']",D012148,Restless Legs Syndrome,0.859,-0.041296012699604,0.900296012699604,ontology_only,"DRD2,DRD3,SLC6A4","DRD2,DRD3,SLC6A4"
"['D000544', 'D000941', 'D001281', 'D002037', 'D002311', 'D002312', 'D002313', 'D002386', 'D002607', 'D006332', 'D006344', 'D006627', 'D008133', 'D008305', 'D008661', 'D008831', 'D009135', 'D009136', 'D009202', 'D009447', 'D009634', 'D010235', 'D011371', 'D012804', 'D014693', 'D017696', 'D018305', 'D019571', 'D020388', 'D020389', 'D020774', 'D020914', 'D044542', 'D049310', 'D052496', 'D053840', 'D057180', 'D058494']",D002386,Cataract,1.0,0.1014160066843032,0.8985839933156968,ontology_only,TOP2A,TOP2A
"['D019040', 'D003920']",D003920,Diabetes Mellitus,1.0,0.1016164496541023,0.8983835503458977,ontology_only,"BCAT2,BGLAP,DGAT1,EIF5A,ESRRA","BCAT2,BGLAP,DGAT1,EIF5A,ESRRA"
"['D007690', 'D016891', 'D050396']",D000072661,Ciliopathies,0.949,0.0506641678512096,0.8983358321487903,ontology_only,CCDC40,CCDC40
"['D000544', 'D000941', 'D002311', 'D004392', 'D004393', 'D008661', 'D010900', 'D020774', 'D028243', 'D040181', 'D057180']",D000544,Alzheimer Disease,1.0,0.1046539768576622,0.8953460231423378,ontology_only,"AKT1,B2M,BTK,CASP3,CCR2","AKT1,B2M,BTK,CASP3,CCR2"
"['D000015', 'D001014', 'D002493', 'D004374', 'D006330', 'D007418', 'D008382', 'D009072', 'D017545', 'D055947']",D045823,Ileus,0.974,0.0790352597832679,0.8949647402167321,ontology_only,MAPK14,MAPK14
"['D006228', 'D010009', 'D040181', 'D054091']",D010026,Osteosclerosis,0.867,-0.0270833112299442,0.8940833112299442,ontology_only,MDK,MDK
"['D000073376', 'D001259', 'D002524', 'D002607', 'D002658', 'D003294', 'D004421', 'D004827', 'D004831', 'D006429', 'D006963', 'D008607', 'D008881', 'D012640', 'D013036', 'D020754', 'D054463', 'D060825', 'D065768', 'D065886']",D002607,Charcot-Marie-Tooth Disease,1.0,0.1062971949577331,0.8937028050422668,ontology_only,"GABBR1,NTRK2,P2RX7,PMP22,TRPA1","GABBR1,NTRK2,P2RX7,PMP22,TRPA1"
"['D001176', 'D003286', 'D003394', 'D009886', 'D012164', 'D017696']",D012164,Retinal Diseases,1.0,0.1075615808367729,0.8924384191632271,ontology_only,"ITGA2,ITGB1,ITGB5,PTGFR,TNF","ITGA2,ITGB1,ITGB5,PTGFR,TNF"
"['D001260', 'D001943', 'D002971', 'D004476', 'D005199', 'D006223', 'D009634', 'D013274', 'D016864', 'D020820', 'D050719', 'D056735']",D005199,Fanconi Anemia,1.0,0.1099743396043777,0.8900256603956223,ontology_only,"ALDH2,FANCC","ALDH2,FANCC"
"['D042643', 'D054369', 'D018826', 'D042683', 'D001142', 'D003546', 'D015415', 'D055418', 'D002918', 'D007791', 'D051547', 'D064094', 'D007249', 'D008071', 'D019056', 'D012694', 'D013926', 'D018180', 'D053220', 'D015703', 'D015820', 'D000071451', 'D002402', 'D004815', 'D000071858', 'D037502', 'D037541', 'D000077155', 'D053722', 'D020780', 'D000071656', 'D053495', 'D018384', 'D053146', 'D037663', 'D008659', 'D019040', 'D019007', 'D008074', 'D047889', 'D053264', 'D000071681', 'D014568', 'D014842', 'D003598', 'D048868', 'D062727', 'D002394', 'D000075983', 'D011956', 'D004093', 'D047150', 'D000070816', 'D053671', 'D008666', 'D013939', 'D006128']",D014842,von Willebrand Diseases,1.0,0.1108167991042137,0.8891832008957863,ontology_only,"F3,F8,PLG,TFPI,VWF","F3,F8,PLG,TFPI,VWF"
"['D009901', 'D005901']",D009471,Neuromyelitis Optica,0.847,-0.0415008068084716,0.8885008068084715,ontology_only,TNFSF13,TNFSF13
['D007249'],D007249,Inflammation,1.0,0.1117488592863082,0.8882511407136918,ontology_only,"ACE2,ADAM17,ADIPOQ,ADORA2A,AGER","ACE2,ADAM17,ADIPOQ,ADORA2A,AGER"
"['D001778', 'D029424']",D029424,"Pulmonary Disease, Chronic Obstructive",1.0,0.1118727251887321,0.8881272748112679,ontology_only,"ADAMTS4,AOC3,CFD,CHRM1,CLCN2","ADAMTS4,AOC3,CFD,CHRM1,CLCN2"
"['D000008', 'D006223', 'D011125', 'D016864', 'D018197', 'D065886']",D006223,"Hamartoma Syndrome, Multiple",1.0,0.1132034137845039,0.8867965862154961,ontology_only,"AKT2,PIK3CA","AKT2,PIK3CA"
"['D013610', 'D008133']",D013610,Tachycardia,1.0,0.1141729950904846,0.8858270049095154,ontology_only,INSR,INSR
"['D002925', 'D006850', 'D007248', 'D053627']",D000072661,Ciliopathies,0.937,0.0518477968871593,0.8851522031128407,ontology_only,CCDC40,CCDC40
