mesh_id,indication_mesh_id,indication_mesh_term,sim_ontology,sim_semantic,sim_gap,bucket,sample_genes_ontology_side,sample_genes_semantic_side
"['C024058', 'D005977', 'C035661', 'C052203', 'D002210', 'D045782', 'D007651', 'D008762', 'D002723', 'C042836', 'C010922', 'C054188', 'D010875', 'D000108', 'D011760', 'D000225', 'D024502', 'D015091', 'D001622', 'D002087', 'D010767', 'D008293', 'D004151', 'D002331', 'D013450', 'C007558', 'D004880', 'D004896', 'D008314', 'D005942', 'D018698', 'D005973', 'C053168', 'D006151', 'D013400', 'D006626', 'D007210', 'C020381', 'D007736', 'D008298', 'D008659', 'D015415', 'C018332', 'C013111', 'D005971', 'C032007', 'C023495', 'C088117', 'C044228', 'D062367', 'C008698', 'D010070', 'C003089', 'D010649', 'D011730', 'D019289', 'D011801', 'D012255', 'D012459', 'C003342', 'D013805', 'D013806']",D008659,Metabolic Diseases,1.0,0.3045926392078399,0.69540736079216,ontology_only,"ACACA,ACACB,ACLY,ACMSD,AGT","ACACA,ACACB,ACLY,ACMSD,AGT"
"['D002311', 'D009136', 'D012174', 'D058494']",D012174,Retinitis Pigmentosa,1.0,0.3072108626365661,0.6927891373634338,ontology_only,"FGF2,ITGB1","FGF2,ITGB1"
"['D000073376', 'D013036', 'D065768']",D013036,"Spasms, Infantile",1.0,0.3270350694656372,0.6729649305343628,ontology_only,"CHRM2,CHRM3,CNR1,GRIN2B,GRM7","CHRM2,CHRM3,CNR1,GRIN2B,GRM7"
"['D002311', 'D009136', 'D012174', 'D058494']",D002311,"Cardiomyopathy, Dilated",1.0,0.2341060638427734,0.7658939361572266,ontology_only,"DAG1,DMD,ITGA7,LMNA,UTRN","DAG1,DMD,ITGA7,LMNA,UTRN"
"['D002311', 'D009136', 'D012174', 'D054220', 'D058494', 'D058495']",D012174,Retinitis Pigmentosa,1.0,0.3270435035228729,0.6729564964771271,ontology_only,FGF2,FGF2
"['D002311', 'D009136', 'D012174', 'D054220', 'D058494', 'D058495']",D009136,Muscular Dystrophies,1.0,0.4226710796356201,0.5773289203643799,ontology_only,"DAG1,DMD,ITGA7,PLEC,UTRN","DAG1,DMD,ITGA7,PLEC,UTRN"
"['D002311', 'D009136', 'D012174', 'D054220', 'D058494', 'D058495']",D002311,"Cardiomyopathy, Dilated",1.0,0.2975328266620636,0.7024671733379364,ontology_only,"DAG1,DMD,ITGA7,LMNA,UTRN","DAG1,DMD,ITGA7,LMNA,UTRN"
"['D002311', 'D004820', 'D006201', 'D006313', 'D006330', 'D019571', 'D055947']",D006330,"Heart Defects, Congenital",1.0,0.547991156578064,0.45200884342193604,ontology_only,PDE5A,PDE5A
"['D002311', 'D004820', 'D006201', 'D006313', 'D006330', 'D019571', 'D055947']",D004820,Epidermolysis Bullosa,1.0,0.0485816821455955,0.9514183178544044,ontology_only,"CNR1,KRT14,MAPK14,PLEC,TRPV1","CNR1,KRT14,MAPK14,PLEC,TRPV1"
"['D002311', 'D002312', 'D006344', 'D006345']",D002312,"Cardiomyopathy, Hypertrophic",1.0,0.334979385137558,0.665020614862442,ontology_only,"MIR208A,MIR499A,MYBPC3","MIR208A,MIR499A,MYBPC3"
